Word,Frequency
united,9
states,9
holocaust,7
memorial,4
museum,4
interview,5
with,80
boleslaw,4
brodecki,5
september,4
httpcollectionsushmmorg,25
contact,25
referenceushmmorg,25
for,98
further,25
information,27
about,57
this,102
collection,26
verbatim,26
transcript,28
spoken,26
word,25
not,71
the,552
primary,25
source,25
and,682
has,28
been,31
checked,25
spelling,26
accuracy,26
preface,1
following,2
oral,2
history,2
testimony,1
resu,1
videotaped,1
inte,1
rview,1
conducted,1
linda,1
kuzmack,1
septem,1
ber,1
behalf,1
took,19
place,16
washington,2
part,4
museum’,1
testimonies,1
rights,1
are,44
held,1
reader,1
should,5
bear,1
mind,3
that,169
rather,1
than,7
written,1
prose,1
neither,1
ecked,1
nor,1
verified,1
therefore,1
possible,1
there,108
errors,1
result,1
nothing,8
quoted,1
used,8
from,63
without,3
first,22
checking,2
against,1
taped,1
technical,1
conversation,2
tape,4
bud,1
would,15
you,374
give,14
your,21
name,8
please,2
sure,5
henry,1
american,7
pronunciation,2
polish,3
was,326
born,2
warsaw,13
poland,3
what,72
year,2
march,4
tell,35
family,9
had,64
sister,19
her,22
roma,1
ther,5
died,2
when,47
eight,1
years,7
old,5
father,10
marry,5
whose,2
helen,1
she,42
like,81
mother,4
course,17
got,87
uncles,1
cousins,1
don,62
know,172
want,18
them,64
but,59
whole,10
bunch,8
did,32
his,21
occupation,1
well,19
accountant,1
were,215
growing,2
child,4
kind,28
school,11
went,42
friends,6
have,39
back,50
rst,1
public,6
meantime,1
hebrew,3
then,45
called,5
gymnasium,3
which,20
high,8
actually,4
catholic,2
ones,6
who,20
jewish,20
faith,1
teacher,2
because,62
all,48
schools,1
religion,2
they,259
teaching,2
kids,4
rabbi,2
coming,8
hour,1
week,1
two,9
three,5
hours,3
after,22
graduate,1
supposed,2
college,2
war,25
started,14
never,13
materialize,1
graduated,1
didn,48
ask,5
studying,1
piano,1
favorite,2
games,1
sports,1
yeah,6
yes,3
sport,1
bicycle,2
racing,1
playing,7
hockey,4
ice,1
ushmm,22
archives,22
played,1
hookey,2
laughing,28
now,14
play,2
theretell,1
teams,2
mixed,4
one,46
team,1
playi,1
maccabee,1
organization,4
junior,1
players,1
usually,2
late,1
clock,1
night,22
those,15
ska,1
ting,1
couldn,15
get,43
closed,2
during,8
day,24
structing,1
other,19
people,84
skating,1
club,1
members,1
just,49
around,16
show,4
how,25
skate,1
holidays,5
celebrate,2
home,6
come,34
howwere,1
big,14
affairs,1
small,1
zionist,1
together,6
synagogues,1
very,12
traditional,2
pretty,2
modern,1
more,8
religious,2
daily,2
basis,1
orthodox,1
see,36
house,6
kosher,2
nybody,1
wanted,4
eat,7
something,22
wasn,11
better,5
bring,4
separate,3
milachtig,1
milchig,1
yidd,2
dairy,1
foods,1
fleishig,1
meat,1
while,9
away,15
little,24
different,7
some,43
stick,4
might,7
mean,18
use,4
fooling,1
being,8
boy,4
instance,1
quarter,1
way,9
less,3
concentration,1
mixedbut,1
think,44
lot,31
jews,13
area,7
far,7
trick,1
majority,1
lled,1
neighborhood,2
famous,1
ever,6
heard,7
zamenhof,2
invented,1
esperanto,1
told,22
time,30
younger,1
shari,1
room,7
him,38
general,5
street,2
renamed,1
living,9
pavia,1
same,8
where,29
benjamin,5
meed,4
known,2
each,7
too,9
long,8
ago,1
can,16
recall,4
anything,13
funny,8
incident,4
listen,1
survivor,1
gather,1
meeting,2
meet,2
wife,8
vladka,3
somebody,18
sitting,5
beside,2
another,9
lady,6
asked,11
saidwhat,1
knew,8
any,10
apartment,2
everybody,29
remember,11
dispute,2
nervous,1
walked,4
put,34
namethey,1
desk,1
taking,5
names,3
regarding,1
relatives,3
find,6
computer,1
ything,2
looking,7
few,9
days,12
later,2
letter,1
richmond,1
english,4
cousin,2
daughter,2
happened,21
togetheryou,1
deaf,1
hardly,2
talk,9
talking,10
communicate,1
couple,14
seats,1
asking,1
could,9
hear,5
anyyou,1
walking,10
ound,1
sign,3
said,47
done,2
thing,20
hang,7
say,24
recognize,5
set,1
wrinkles,1
found,5
lost,1
somehow,6
organize,2
eeting,1
los,1
angeles,1
barbic,1
california,1
fantasy,1
invited,1
friend,5
ours,2
visit,1
says,23
tickets,1
husband,1
getting,11
plans,1
okay,11
let,13
pull,3
interesting,1
really,16
full,1
circle,1
alright,4
met,4
germans,18
th,1
sudden,4
qui,1
airplanes,4
air,10
columns,1
smoke,2
detonations,1
bombs,1
gas,6
mas,1
confusion,1
worse,4
cause,2
hous,1
destroyed,3
even,13
weeks,1
streets,2
walk,8
landmarks,1
going,52
here,16
live,10
city,13
life,7
hing,2
indicate,1
worries,1
peopl,2
laying,9
dead,15
running,7
forth,6
children,2
their,5
hands,3
worry,1
nazis,1
average,1
person,5
gonna,18
point,5
out,50
almost,1
bombardment,1
devastated,1
shelter,1
shelters,4
third,1
floor,4
our,6
kept,7
wouldn,17
stay,11
top,5
trying,16
under,5
building,3
somewhere,2
quite,1
number,2
buried,1
collapsed,1
take,18
tall,1
church,4
came,54
alarm,1
gone,2
these,3
places,5
steel,1
buildings,1
today,3
basement,1
several,2
floors,1
down,15
gets,1
hit,5
crumbles,1
right,12
into,7
ground,11
devastating,4
bad,5
thingyou,1
packed,1
underground,3
past,1
occupied,1
picking,4
nobodies,1
things,7
jew,5
escaped,6
fiancé,2
russians,21
staying,2
polytechnicwhich,1
university,1
vacation,1
summer,2
rsaw,1
note,3
smuggling,2
rough,1
border,8
regular,1
mail,1
brought,4
over,20
evils,1
particular,4
decided,1
lived,1
leave,6
wants,3
train,13
station,7
saying,1
goodbye,1
separated,3
german,10
push,2
freight,4
toward,5
russia,3
caught,4
only,5
trip,5
make,11
story,3
side,18
russian,15
throw,3
germany,5
chase,2
always,3
opposite,1
nightman,1
finally,13
ain,1
dark,7
traveling,1
christian,1
jewi,1
murdered,2
telling,1
hey,3
shoot,3
familyshoot,1
terrible,8
scared,3
country,3
close,3
order,3
cross,4
guess,3
call,11
farmer,2
tom,1
smugglers,1
barn,3
also,4
gave,4
money,5
someday,2
wagon,10
cover,3
straw,1
driver,3
horse,4
worrying,2
why,6
sunday,4
mix,1
crowd,1
work,12
made,9
second,1
smuggler,1
middle,3
rape,2
women,7
girl,2
lay,4
notthey,1
sick,7
rings,3
sugar,2
working,10
bags,1
ssia,1
knows,1
shortages,1
stream,1
wearing,6
boots,1
carriage,1
again,2
forgot,6
waswas,1
bus,1
sleeping,4
wandering,1
sleep,2
andand,3
travel,1
ourself,1
pruzhany,1
pol,1
pruana,4
brestlitovsk,1
stop,2
table,5
everything,11
continue,1
closer,1
brotherlaw,8
mad,2
